CountyName,LocationName,Asthma,TotalPopulation,TotalPop18plus,COP,GEOID,Smoking,Drinking,Short_Sleep,Physical_Activity,neighbor_avg_density,minority,aging,disability,forest_total,wetland_total,Hdensity_total,Ldensity_total,grasses_total,water_total,forest_pct,Hdensity_pct,lst_winter,ndvi_fall,evi_spring,evi_fall,savi_fall,savi_winter,savi_summer,savi_spring,ndvi_winter,lst_summer,evi_summer,lst_spring,lst_fall,ndvi_spring,ndvi_summer,evi_winter
Erie,42049011511,11.4,2050,1922,4.5,42049011511,14.7,24.8,38.4,25.3,6.326575198407266,0.186006084311169,0.029986962190352,0.0956106040851803,3340.7333333333336,53.13725490196079,813.2549019607843,2466.8549019607844,435.23921568627446,7.003921568627451,0.5994938295806841,0.05897386440351046,1.3245582625475285,0.703748623642766,0.2864197562491275,0.4321368439551051,0.4187830447370192,0.2371751692079645,0.5360793418931304,0.2833363008905638,0.4416427043685605,28.647555125022336,0.5987849384391563,19.942113125850423,19.39194047223361,0.5163366124489274,0.7761794045153467,0.1775142498462802
Franklin,42055011600,10.4,6068,4765,8.7,42055011600,17.5,19.3,37.1,23.4,0.33727738566455806,0.0933877551020408,0.1528163265306122,0.1147755102040816,138708.52156862733,2875.560784313726,1314.1254901960783,15438.658823529411,134250.25098039216,870.1960784313725,0.8139733162555322,0.02206790768184016,3.389958074306014,0.6159743218980956,0.21771810893517,0.3520982302305924,0.3586014068552411,0.2279146584105804,0.56093274260057,0.2261172127118519,0.4438699196053784,29.344154751555767,0.6161294599997659,8.606531171030738,16.938475042058407,0.4043814753852944,0.8224938032640572,0.2184086440755872
Delaware,42045410000,9.1,4283,3509,5.3,42045410000,8.4,16.3,33.1,16.5,1.6024186224046135,0.0984672549930329,0.3107292150487691,0.1056665118439386,15753.929411764704,256.89019607843136,835.6431372549021,6898.564705882349,4584.874509803922,2.0,0.5808336146201435,0.13540351684038124,2.398456118413924,0.6983053271187086,0.4294323877632538,0.3620980255915893,0.3613202711235629,0.2129184631228616,0.5305633530618759,0.4146059374469466,0.4945549610791711,32.229066695891504,0.579888203632677,20.06429783005111,21.372207022226267,0.6715209722260913,0.8151056804032621,0.2037746316197086
Delaware,42045400500,11.1,4649,3426,6.3,42045400500,17.7,15.8,47.9,28.3,143.00197278942204,0.701969813251471,0.0798158096699923,0.1775390125351752,177.2705882352941,0.0,609.0392156862746,668.9098039215687,0.0,0.0,0.18365631360056633,0.7494671774894563,9.462043057024635,0.4966278744481228,0.2999970459551826,0.28987748732071,0.2745521942031661,0.1476064659338883,0.3758372729061601,0.2769690823879593,0.2992017797304634,36.23195451932744,0.427288429437516,18.50067120029533,15.52957173896066,0.4200262356507742,0.5469604516404052,0.1489935144285851
Erie,42049002000,11.8,3293,2375,8.6,42049002000,22.1,19.0,41.4,30.2,37.06102425809229,0.3023702754644459,0.1092248558616271,0.1662395900064061,0.0,0.0,827.5176470588236,415.2431372549019,0.0,0.0,0.0,0.5844268471260611,4.999716075419222,0.5244735961425258,0.2312342145013448,0.3013620563660422,0.2891010839844105,0.1402012645388967,0.3485180197801628,0.2183745294288563,0.3445315867388869,35.86059852485367,0.3844724424382711,25.483609476870026,21.152139914534324,0.3956357393563841,0.5506824733375604,0.1312634850566879
Delaware,42045407201,9.1,5641,4751,6.6,42045407201,9.6,13.9,32.9,20.5,1.1923098971487083,0.0460134128166915,0.3671758569299553,0.1423248882265275,9713.776470588233,120.8980392156863,1947.7254901960785,6044.054901960782,2100.219607843137,11.63921568627451,0.5058205185035366,0.3248152696961766,0.5753856618646659,0.6722796162158861,0.4491250859782584,0.3258839636785802,0.3254441148313047,0.2147218022407475,0.4942135102627947,0.4256104649993041,0.4971222583454444,33.07061185148926,0.5383590778024401,20.651052519665846,20.92209678519603,0.6655701229674783,0.7702181024489267,0.2026482396759105
Dauphin,42043024601,10.3,4933,4085,7.4,42043024601,14.0,17.5,37.4,20.8,3.0351780629913314,0.1412054586808188,0.2998483699772555,0.0727824109173616,2959.141176470588,6.474509803921569,932.556862745098,4326.223529411765,5781.490196078433,27.00392156862745,0.3561910517227443,0.04395673711743383,1.665703746848018,0.6237721612209427,0.3946563739285981,0.3721134205795706,0.359939172133672,0.256911761560809,0.4937609028090871,0.374913752497116,0.4986430771667319,36.977042971404735,0.5444863498114928,17.499909961467353,18.577895062723627,0.5952054212841222,0.7332683380748934,0.2552400118334184
Erie,42049002400,11.2,2987,2301,7.4,42049002400,18.2,20.7,38.5,24.9,51.36142857085129,0.1752933057280883,0.1017943409247757,0.2115251897860593,5.921568627450981,0.0,1044.239215686274,412.8470588235294,0.0,0.0,0.0,0.41888456179749994,2.044067830237641,0.4789731854886795,0.2167978115073842,0.2765517849388819,0.2664958124569898,0.1554610957576169,0.3128542527024269,0.2066885378649723,0.4122685034929939,37.88483377690324,0.3382100693447866,25.408528732086907,22.032557592856563,0.3663322464953669,0.4880167424685676,0.1303848497411749
Indiana,42063961000,11.0,2223,1809,7.2,42063961000,15.3,18.9,36.1,22.2,12.951988706167315,0.1053882725832012,0.099445324881141,0.1224247226624405,433.8627450980392,0.0,590.980392156863,462.2627450980391,4.0,0.0,0.604230126090297,0.4333045786330455,3.236246974003496,0.5849799789060326,0.306194011495626,0.3492984438113162,0.3423760779730541,0.2108449452815338,0.4132289663061935,0.2969096122797502,0.5184134952197418,33.70838515162748,0.4402623903514238,23.026090595198763,19.297441512005665,0.4925094246525633,0.6438864912766123,0.1645945236676829
Delaware,42045408800,9.6,5083,3882,4.7,42045408800,9.5,20.2,36.3,15.8,13.545982741256948,0.167731938795274,0.1824520627542126,0.0652721286073988,116.31764705882352,0.0,650.8274509803921,1161.454901960784,2.992156862745098,0.0,0.054988031421732246,0.17778273208765913,2.8243303376386,0.5660960272759681,0.2796760515673608,0.3364873060617249,0.321042651101687,0.175914290140738,0.3798631166695385,0.2659928048406787,0.4720965128389569,36.94711857122462,0.4126665382793079,18.548291711997017,31.188898622112323,0.4244787249969132,0.5958613853658022,0.1400942599636966
