system:index,geoid,sum,.geo
39,42003050900,79.76470588235291,"{""type"":""Polygon"",""coordinates"":[[[-79.98389774563,40.44851890261813],[-79.98272174113197,40.44636790300337],[-79.96492379133166,40.452881899604996],[-79.96600879723697,40.455658899202206],[-79.98389774563,40.44851890261813]]]}"
40,42003051000,115.73725490196078,"{""type"":""Polygon"",""coordinates"":[[[-79.97491674741862,40.44370790260486],[-79.96871174488984,40.43876990273336],[-79.95847279046482,40.448447899650695],[-79.96516377934152,40.448711900388226],[-79.97491674741862,40.44370790260486]]]}"
41,42003051100,31.49803921568627,"{""type"":""Polygon"",""coordinates"":[[[-79.9796707355893,40.44269690347658],[-79.9778767289458,40.439346903987925],[-79.9730187395183,40.439778903173085],[-79.97561474827572,40.44443690253912],[-79.9796707355893,40.44269690347658]]]}"
42,42003060300,71.74509803921569,"{""type"":""Polygon"",""coordinates"":[[[-79.97390681394663,40.4658688977622],[-79.96607780766851,40.45943589850925],[-79.95363383613096,40.462755897054045],[-79.96868384123876,40.47274889612985],[-79.97390681394663,40.4658688977622]]]}"
43,42003060500,107.1490196078431,"{""type"":""Polygon"",""coordinates"":[[[-79.97494578429553,40.456292899889895],[-79.97366577634651,40.45284190050473],[-79.95593482612978,40.46030189757708],[-79.96807280893326,40.46101089836456],[-79.97494578429553,40.456292899889895]]]}"
44,42003070300,45.423529411764704,"{""type"":""Polygon"",""coordinates"":[[[-79.94094682836939,40.45131489731336],[-79.93883682346328,40.44768489741416],[-79.92964484458987,40.449825896185956],[-79.93256685056492,40.454744896178696],[-79.94094682836939,40.45131489731336]]]}"
45,42003070500,0.0,"{""type"":""Polygon"",""coordinates"":[[[-79.9340558538085,40.457260896135786],[-79.93097784723834,40.45206089619567],[-79.92504187424913,40.4599528952408],[-79.92571987268404,40.45972489530338],[-79.9340558538085,40.457260896135786]]]}"
46,42003070600,7.968627450980392,"{""type"":""Polygon"",""coordinates"":[[[-79.93097784723834,40.45206089619567],[-79.92964484458987,40.449825896185956],[-79.9207108665532,40.45289289509701],[-79.92519686850117,40.45737689536278],[-79.93097784723834,40.45206089619567]]]}"
47,42003070800,67.90588235294118,"{""type"":""Polygon"",""coordinates"":[[[-79.9251778691792,40.45767989534819],[-79.9207108665532,40.45289289509701],[-79.91242288285508,40.45403589425437],[-79.92272187940318,40.46065489503749],[-79.9251778691792,40.45767989534819]]]}"
48,42003070900,98.16470588235292,"{""type"":""Polygon"",""coordinates"":[[[-79.94968681649361,40.45258389808969],[-79.93883682346328,40.44768489741416],[-79.93256685056492,40.454744896178696],[-79.9340558538085,40.457260896135786],[-79.94968681649361,40.45258389808969]]]}"
49,42003080200,40.247058823529414,"{""type"":""Polygon"",""coordinates"":[[[-79.95593482612978,40.46030189757708],[-79.95298982388364,40.45762789772606],[-79.94751383089462,40.45687189734935],[-79.95255283983245,40.46354589687199],[-79.95593482612978,40.46030189757708]]]}"
50,42003080400,33.686274509803916,"{""type"":""Polygon"",""coordinates"":[[[-79.9514788256095,40.457342897635236],[-79.94968681649361,40.45258389808969],[-79.93858984323737,40.455908896649674],[-79.94709184089292,40.460613896866995],[-79.9514788256095,40.457342897635236]]]}"
51,42003080600,4.0,"{""type"":""Polygon"",""coordinates"":[[[-79.94370884201048,40.458880896799],[-79.93656384798737,40.45651389641465],[-79.9360728637216,40.46297489585012],[-79.94126985854204,40.4641518960811],[-79.94370884201048,40.458880896799]]]}"
52,42003080700,3.0,"{""type"":""Polygon"",""coordinates"":[[[-79.93703885013555,40.457772896351365],[-79.9340558538085,40.457260896135786],[-79.93067187318235,40.46349189545748],[-79.93510686924257,40.4647328956499],[-79.93703885013555,40.457772896351365]]]}"
53,42003080900,9.0,"{""type"":""Polygon"",""coordinates"":[[[-79.94985984049842,40.46218189687292],[-79.94372784180969,40.45881089680805],[-79.93510686924257,40.4647328956499],[-79.94806685207834,40.46569689631805],[-79.94985984049842,40.46218189687292]]]}"
54,42003090100,21.07843137254902,"{""type"":""Polygon"",""coordinates"":[[[-79.96868384123876,40.47274889612985],[-79.96228883903338,40.46870589661565],[-79.95569787387899,40.47834589487101],[-79.96068887746273,40.48205389432019],[-79.96868384123876,40.47274889612985]]]}"
55,42003090200,14.356862745098042,"{""type"":""Polygon"",""coordinates"":[[[-79.96228883903338,40.46870589661565],[-79.95795983591374,40.465180896965855],[-79.95169484978136,40.46691789636112],[-79.95804485889425,40.47385789560735],[-79.96228883903338,40.46870589661565]]]}"
56,42003090300,0.0,"{""type"":""Polygon"",""coordinates"":[[[-79.95795983591374,40.465180896965855],[-79.94986484024764,40.46208589688563],[-79.94806685207834,40.46569689631805],[-79.95192884751488,40.46616889647523],[-79.95795983591374,40.465180896965855]]]}"
57,42003100500,199.83137254901962,"{""type"":""Polygon"",""coordinates"":[[[-79.94435188934484,40.47867589468485],[-79.93290488599982,40.47067689510293],[-79.93171489073764,40.47203989496623],[-79.93352990636126,40.480037894456444],[-79.94435188934484,40.47867589468485]]]}"
58,42003101100,114.36470588235294,"{""type"":""Polygon"",""coordinates"":[[[-79.96065387758975,40.482084894314994],[-79.947144884059,40.47799589479962],[-79.93801092651596,40.49106589352611],[-79.9531938993684,40.48695389363072],[-79.96065387758975,40.482084894314994]]]}"
59,42003101400,640.9686274509806,"{""type"":""Polygon"",""coordinates"":[[[-79.93801092651596,40.49106589352611],[-79.9283478960345,40.47231689483284],[-79.91248194889039,40.488271894315446],[-79.92792093851894,40.491536893815294],[-79.93801092651596,40.49106589352611]]]}"
60,42003101800,564.5568627450979,"{""type"":""Polygon"",""coordinates"":[[[-79.94889188250151,40.4782778947895],[-79.93191489758496,40.47521589476334],[-79.92553093418474,40.48830689403521],[-79.9462969028798,40.48515689395518],[-79.94889188250151,40.4782778947895]]]}"
61,42003101900,285.4901960784314,"{""type"":""Polygon"",""coordinates"":[[[-79.94737086018323,40.46853189593809],[-79.93643986709462,40.464674895735506],[-79.9327858860757,40.47063589510101],[-79.9394118823847,40.47304289514469],[-79.94737086018323,40.46853189593809]]]}"
62,42003110200,142.30980392156863,"{""type"":""Polygon"",""coordinates"":[[[-79.9285819023107,40.475330894676624],[-79.92102390076936,40.46968889465611],[-79.91617392521064,40.47847889434675],[-79.92733891594354,40.48084489437059],[-79.9285819023107,40.475330894676624]]]}"
63,42003110600,158.9921568627451,"{""type"":""Polygon"",""coordinates"":[[[-79.92089190154314,40.46997189464252],[-79.91178491428246,40.46984089425579],[-79.91333992932927,40.47871689431028],[-79.9159349262244,40.47883389434001],[-79.92089190154314,40.46997189464252]]]}"
64,42003111300,72.58823529411765,"{""type"":""Polygon"",""coordinates"":[[[-79.9327858860757,40.47063589510101],[-79.91990289289856,40.46506889471943],[-79.91615990235677,40.466989894475276],[-79.93146189526777,40.4739078948368],[-79.9327858860757,40.47063589510101]]]}"
65,42003111400,106.9450980392157,"{""type"":""Polygon"",""coordinates"":[[[-79.93640686727188,40.464729895728965],[-79.93067187318235,40.46349189545748],[-79.92751588943646,40.46874889498552],[-79.9327858860757,40.47063589510101],[-79.93640686727188,40.464729895728965]]]}"
66,42003111500,15.28627450980392,"{""type"":""Polygon"",""coordinates"":[[[-79.93425485420263,40.45757589612964],[-79.9174108813891,40.45747989468927],[-79.91570888977768,40.46031289451574],[-79.9281218863184,40.46772189506809],[-79.93425485420263,40.45757589612964]]]}"
67,42003120300,452.1607843137254,"{""type"":""Polygon"",""coordinates"":[[[-79.90881191501249,40.46796289410134],[-79.8989079238727,40.464702893452554],[-79.89843694365354,40.47587889398896],[-79.9082739274521,40.474214894176534],[-79.90881191501249,40.46796289410134]]]}"
68,42003120900,202.9372549019608,"{""type"":""Polygon"",""coordinates"":[[[-79.9198028933093,40.46519589471047],[-79.91242288285508,40.45403589425437],[-79.90559390931702,40.462257893796234],[-79.90862091962335,40.470279894126826],[-79.9198028933093,40.46519589471047]]]}"
69,42003130200,5.019607843137255,"{""type"":""Polygon"",""coordinates"":[[[-79.8984919130464,40.45799289308935],[-79.88809192608208,40.45552589200064],[-79.88772492819894,40.45650889205293],[-79.89755492148048,40.46208089322977],[-79.8984919130464,40.45799289308935]]]}"
70,42003130600,653.3176470588235,"{""type"":""Polygon"",""coordinates"":[[[-79.88594292896383,40.455072891758654],[-79.86713895344477,40.449390889078174],[-79.86584196323903,40.45574388997287],[-79.8769009529131,40.461605891726364],[-79.88594292896383,40.455072891758654]]]}"
71,42003130700,146.02352941176477,"{""type"":""Polygon"",""coordinates"":[[[-79.90954589269678,40.45668989400405],[-79.89755492148048,40.46208089322977],[-79.87768494549258,40.457092891227944],[-79.89897492370972,40.46466689345491],[-79.90954589269678,40.45668989400405]]]}"
72,42003130800,61.98823529411765,"{""type"":""Polygon"",""coordinates"":[[[-79.90529889748996,40.45549489359557],[-79.88592891669211,40.44690589098857],[-79.88408592330505,40.449142890987204],[-79.88594292896383,40.455072891758654],[-79.90529889748996,40.45549489359557]]]}"
73,42003140100,432.37254901960796,"{""type"":""Polygon"",""coordinates"":[[[-79.94915478932568,40.441444899440285],[-79.93594780528663,40.43757789787739],[-79.9276818225231,40.4381048965668],[-79.9372898264705,40.44779089721945],[-79.94915478932568,40.441444899440285]]]}"
74,42003140200,410.4588235294118,"{""type"":""Polygon"",""coordinates"":[[[-79.93721082662532,40.44779689720947],[-79.92051184825728,40.44384989531513],[-79.92022886392685,40.4512168950904],[-79.92207386380134,40.452684895242506],[-79.93721082662532,40.44779689720947]]]}"
75,42003140300,172.3294117647059,"{""type"":""Polygon"",""coordinates"":[[[-79.92792383516453,40.44411989629],[-79.91308185066721,40.438026894326526],[-79.91164887007452,40.4466948941454],[-79.92051184825728,40.44384989531513],[-79.92792383516453,40.44411989629]]]}"
76,42003140400,244.9921568627451,"{""type"":""Polygon"",""coordinates"":[[[-79.9215748542299,40.44766889534214],[-79.91584685853609,40.444689894684196],[-79.90819088522436,40.451485893797674],[-79.9207108665532,40.45289289509701],[-79.9215748542299,40.44766889534214]]]}"
77,42003140500,52.80392156862746,"{""type"":""Polygon"",""coordinates"":[[[-79.9122828831947,40.45408989424081],[-79.9086528847611,40.4516638938497],[-79.89322390291457,40.446492891855804],[-79.89259991059812,40.450559892066636],[-79.9122828831947,40.45408989424081]]]}"
78,42003140800,269.2823529411764,"{""type"":""Polygon"",""coordinates"":[[[-79.9234818132082,40.42982589622628],[-79.912238829839,40.4263748941683],[-79.90746284019625,40.42648389324232],[-79.91147385375686,40.43801189407932],[-79.9234818132082,40.42982589622628]]]}"
79,42003141100,584.3960784313728,"{""type"":""Polygon"",""coordinates"":[[[-79.9164128014342,40.41658489509766],[-79.89962183781682,40.41544889120938],[-79.8910108763501,40.42723989010943],[-79.9066218410385,40.425969893067894],[-79.9164128014342,40.41658489509766]]]}"
80,42003141200,160.41176470588235,"{""type"":""Polygon"",""coordinates"":[[[-79.9113028715658,40.447148894105325],[-79.89955388933177,40.445235892583476],[-79.89300487171037,40.42697589047258],[-79.89322390291457,40.446492891855804],[-79.9113028715658,40.447148894105325]]]}"
81,42003141300,203.01176470588237,"{""type"":""Polygon"",""coordinates"":[[[-79.93494479473891,40.432124898139655],[-79.92360681242594,40.42957789625829],[-79.92298283152502,40.438054895847536],[-79.93403180930768,40.43770589757048],[-79.93494479473891,40.432124898139655]]]}"
82,42003141400,583.7725490196077,"{""type"":""Polygon"",""coordinates"":[[[-79.92790779923662,40.42762089714806],[-79.91857078467658,40.41075589570486],[-79.90576484567151,40.42750789293862],[-79.92348381301643,40.42973689622991],[-79.92790779923662,40.42762089714806]]]}"
83,42003151600,108.93725490196078,"{""type"":""Polygon"",""coordinates"":[[[-79.95228074160046,40.42517090211413],[-79.9498337480989,40.425663901564995],[-79.93983375356129,40.418950900226015],[-79.94004577886926,40.42981089924716],[-79.95228074160046,40.42517090211413]]]}"
84,42003151700,151.5960784313725,"{""type"":""Polygon"",""coordinates"":[[[-79.93983875428266,40.41925990019818],[-79.92677278280163,40.41890989735215],[-79.92675880280213,40.4281508969043],[-79.93972077833895,40.429302899235324],[-79.93983875428266,40.41925990019818]]]}"
85,42003160800,209.16078431372551,"{""type"":""Polygon"",""coordinates"":[[[-79.97962267192419,40.42151290839175],[-79.97569766765291,40.41712690852158],[-79.9612867116464,40.42125590456137],[-79.97660568927049,40.42512490695312],[-79.97962267192419,40.42151290839175]]]}"
86,42003160900,51.74509803921568,"{""type"":""Polygon"",""coordinates"":[[[-79.97659568950812,40.42519790693499],[-79.9649597104033,40.423731904891866],[-79.95231570569572,40.411235904032736],[-79.96029473375259,40.42863390313366],[-79.97659568950812,40.42519790693499]]]}"
87,42003161000,1205.2666666666657,"{""type"":""Polygon"",""coordinates"":[[[-79.98225765437506,40.41766590987751],[-79.97655362660609,40.403918911642904],[-79.95509669729896,40.41054490482136],[-79.9612867116464,40.42125590456137],[-79.98225765437506,40.41766590987751]]]}"
88,42003170200,22.47450980392157,"{""type"":""Polygon"",""coordinates"":[[[-79.99877065718525,40.429794909960144],[-79.97660568927049,40.42512490695312],[-79.97350072141178,40.43387590448979],[-79.99673667126787,40.432799908711765],[-79.99877065718525,40.429794909960144]]]}"
89,42003170600,446.02352941176474,"{""type"":""Polygon"",""coordinates"":[[[-79.99926665399994,40.42914591024582],[-79.98636064473098,40.4175549108277],[-79.9766386844936,40.42353590731238],[-79.97660568927049,40.42512490695312],[-79.98627067047927,40.42575190871312],[-79.9988016569651,40.429747909979874],[-79.99926665399994,40.42914591024582]]]}"
90,42003180300,188.06274509803924,"{""type"":""Polygon"",""coordinates"":[[[-80.00361663224578,40.42792390464395],[-79.9880956438756,40.41853391096183],[-79.98772666458382,40.424864909230344],[-79.99754665509455,40.428391910150445],[-80.00361663224578,40.42792390464395]]]}"
91,42003180700,23.33333333333333,"{""type"":""Polygon"",""coordinates"":[[[-80.00561162048118,40.42704890156638],[-80.00494360757169,40.422197904284076],[-79.99739963317799,40.421646912107846],[-79.99824864962125,40.42718191064163],[-80.00561162048118,40.42704890156638]]]}"
